Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 0's token_index 346
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 1's token_index 279
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 2's token_index 513
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 3's token_index 89
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 4's token_index 146
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 5's token_index 485
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 6's token_index 263
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 7's token_index 411
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 8's token_index 449
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 9's token_index 95
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 10's token_index 91
Sat 27 May 2017 11:12:46 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 15454886340L, u'id_str': u'15454886340'}, u'timestamp_ms': u'1495854744575'}}
Sat 27 May 2017 11:12:48 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'2500838272', u'user_id': 2500838272L, u'id': 868297626592137216L, u'id_str': u'868297626592137216'}, u'timestamp_ms': u'1495854764187'}}
Sat 27 May 2017 11:12:49 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'17887248', u'user_id': 17887248, u'id': 840395666274697216L, u'id_str': u'840395666274697216'}, u'timestamp_ms': u'1495854765844'}}
Sat 27 May 2017 11:12:49 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'2500838272', u'user_id': 2500838272L, u'id': 868300348301209602L, u'id_str': u'868300348301209602'}, u'timestamp_ms': u'1495854764378'}}
Sat 27 May 2017 11:12:49 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'2500838272', u'user_id': 2500838272L, u'id': 868298702879825920L, u'id_str': u'868298702879825920'}, u'timestamp_ms': u'1495854764583'}}
Sat 27 May 2017 11:12:49 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'2500838272', u'user_id': 2500838272L, u'id': 868300548314890240L, u'id_str': u'868300548314890240'}, u'timestamp_ms': u'1495854764763'}}
Sat 27 May 2017 11:12:49 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'2500838272', u'user_id': 2500838272L, u'id': 868300648659464192L, u'id_str': u'868300648659464192'}, u'timestamp_ms': u'1495854764970'}}
Sat 27 May 2017 11:12:51 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 90628327148240896L, u'id_str': u'90628327148240896'}, u'timestamp_ms': u'1495854748410'}}
Sat 27 May 2017 11:12:54 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 90634889602400256L, u'id_str': u'90634889602400256'}, u'timestamp_ms': u'1495854751606'}}
Sat 27 May 2017 11:12:56 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'2400312168', u'user_id': 2400312168L, u'id': 868144199530561537L, u'id_str': u'868144199530561537'}, u'timestamp_ms': u'1495854773150'}}
